Hund,Dog,0
Katze,Cat,0
Pferd,Horse,0
Haus,House,0
Auto,Car,0
Baum,Tree,0
Mann,Man,0
Frau,Woman,0
Kind,Child,0
Schule,School,0
Stadt,City,0
Land,Country,0
Wasser,Water,0
Feuer,Fire,0
Luft,Air,0
Erde,Earth,0
Sonnenuntergang,Sunset,0
Blume,Flower,0
Baum,Tree,0
Wald,Forest,0
Berg,Mountain,0
Strand,Beach,0
Himmel,Sky,0
Sonne,Sun,0
Mond,Moon,0
Stern,Star,0
Wolke,Cloud,0
Hut,Hat,0
Tisch,Table,0
Stuhl,Chair,0
Fenster,Window,0
Tür,Door,0
Buch,Book,0
Stift,Pen,0
Papier,Paper,0
Telefon,Telephone,0
Computer,Computer,0
Musik,Music,0
Film,Movie,0
Bild,Picture,0
Kleid,Dress,0
Schuhe,Shoes,0
Handtasche,Handbag,0
Hut,Hat,0
Geld,Money,0
Uhr,Watch,0
Kamera,Camera,0
Schlüssel,Key,0
Kochen,Cooking,0
Essen,Food,0
Trinken,Drink,0
Freund,Friend,0
Familie,Family,0
Liebe,Love,0
Glück,Happiness,0
Arbeit,Work,0
